Question,Answer,QType
What is (are) Urinary Incontinence ?,"Urinary incontinence means a person leaks urine by accident. Urinary incontinence is a common bladder problem as people age. Women are more likely than men to leak urine. If this problem is happening to you, there is help. Urinary incontinence can often be controlled. Talk to your health care provider about what you can do. Types of Urinary Incontinence There are different types of urinary incontinence. - Stress urinary incontinence happens when urine leaks as pressure is put on the bladder, for example, during exercise, coughing, sneezing, laughing, or lifting heavy objects. Its the most common type of bladder control problem in younger and middle-age women. It may begin around the time of menopause. Stress urinary incontinence happens when urine leaks as pressure is put on the bladder, for example, during exercise, coughing, sneezing, laughing, or lifting heavy objects. Its the most common type of bladder control problem in younger and middle-age women. It may begin around the time of menopause. - Urgency urinary incontinence happens when people have a sudden need to urinate and arent able to hold their urine long enough to get to the toilet.  Urgency urinary incontinence happens when people have a sudden need to urinate and arent able to hold their urine long enough to get to the toilet. - Mixed urinary incontinence is a mix of stress and urgency urinary incontinence. You may leak urine with a laugh or sneeze at one time. At another time, you may leak urine because you have a sudden urge to urinate that you cannot control. Mixed urinary incontinence is a mix of stress and urgency urinary incontinence. You may leak urine with a laugh or sneeze at one time. At another time, you may leak urine because you have a sudden urge to urinate that you cannot control. - Overflow urinary incontinence happens when small amounts of urine leak from a bladder that is always full. A man can have trouble emptying his bladder if an enlarged prostate is blocking the urethra. Diabetes and spinal cord injury can also cause this type of urinary incontinence. Overflow urinary incontinence happens when small amounts of urine leak from a bladder that is always full. A man can have trouble emptying his bladder if an enlarged prostate is blocking the urethra. Diabetes and spinal cord injury can also cause this type of urinary incontinence. - Functional urinary incontinence occurs in many older people who have a problem getting to the toilet in time. They may not make it in time because of arthritis or other disorders that make it hard to move quickly. Functional urinary incontinence occurs in many older people who have a problem getting to the toilet in time. They may not make it in time because of arthritis or other disorders that make it hard to move quickly.",information
What is (are) Polycystic Ovary Syndrome ?,"Polycystic ovary syndrome (PCOS) happens when a woman's ovaries or adrenal glands produce more male hormones than normal. One result is that cysts (fluid-filled sacs) develop on the ovaries. Women who are obese are more likely to have polycystic ovary syndrome.    Symptoms of PCOS include:      - Infertility    - Pelvic pain    - Excess hair growth on the face, chest, stomach, thumbs, or toes    - Baldness or thinning hair    - Acne, oily skin, or dandruff    - Patches of thickened dark brown or black skin          Women with PCOS are at higher risk of diabetes, metabolic syndrome, heart disease, and high blood pressure. Medicines can help control the symptoms. Birth control pills help women have normal periods, reduce male hormone levels, and clear acne. Other medicines can reduce hair growth and control blood pressure and cholesterol. There is no cure.    NIH: National Institute of Child Health and Human Development",information
How many people are affected by cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy ?,"CADASIL is likely a rare condition; however, its prevalence is unknown.",frequency
What is the outlook for Breast Cancer ?,"Certain factors affect prognosis (chance of recovery) and treatment options. The prognosis (chance of recovery) and treatment options depend on the following:         - The stage of the cancer (the size of the tumor and whether it is in the breast only or has spread to lymph nodes or other places in the body).    - The type of breast cancer.    - Estrogen receptor and progesterone receptor levels in the tumor tissue.    - Human epidermal growth factor type 2 receptor (HER2/neu) levels in the tumor tissue.    - Whether the tumor tissue is triple negative (cells that do not have estrogen receptors, progesterone receptors, or high levels of HER2/neu).    - How fast the tumor is growing.    - How likely the tumor is to recur (come back).    - A womans age, general health, and menopausal status (whether a woman is still having menstrual periods).    - Whether the cancer has just been diagnosed or has recurred (come back).",outlook
What are the symptoms of Gorlin Chaudhry Moss syndrome ?,"What are the signs and symptoms of Gorlin Chaudhry Moss syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for Gorlin Chaudhry Moss syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the foot 90% Abnormality of the metacarpal bones 90% Coarse hair 90% Cognitive impairment 90% Conductive hearing impairment 90% Craniosynostosis 90% Hypertelorism 90% Hypertrichosis 90% Low anterior hairline 90% Nystagmus 90% Reduced number of teeth 90% Short stature 90% Abnormality of bone mineral density 50% Aplasia/Hypoplasia involving the nose 50% Astigmatism 50% Patent ductus arteriosus 50% Sclerocornea 50% Umbilical hernia 50% Cleft eyelid 7.5% Anonychia 5% Bifid nasal tip 5% Cutaneous syndactyly 5% Low posterior hairline 5% Small nail 5% Synophrys 5% Autosomal recessive inheritance - Brachycephaly - Coronal craniosynostosis - Dental malocclusion - High palate - Hypermetropia - Hypodontia - Hypoplasia of midface - Hypoplasia of the maxilla - Hypoplastic labia majora - Malar flattening - Microdontia - Microphthalmia - Narrow palate - Posteriorly rotated ears - Ptosis - Short distal phalanx of finger - Short distal phalanx of toe - Small palpebral fissure - Underdeveloped supraorbital ridges - Upper eyelid coloboma - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",symptoms
What is (are) Konigsmark Knox Hussels syndrome ?,"Konigsmark Knox Hussels syndrome is an inherited condition that causes both hearing and vision loss. This condition is characterized by late-onset progressive sensorineural deafness and progressive optic atrophy, which results in mildly reduced visual acuity. Some affected individuals can develop ophthalmoplegia (paralysis of the muscles that control eye movements), ptosis, ataxia, and non-specific myopathy in middle age. This condition is caused by a particular mutation in the OPA1 gene and is inerited in an autosomal dominant fashion.",information
What are the symptoms of X-linked Charcot-Marie-Tooth disease type 5 ?,"What are the signs and symptoms of X-linked Charcot-Marie-Tooth disease type 5? The Human Phenotype Ontology provides the following list of signs and symptoms for X-linked Charcot-Marie-Tooth disease type 5. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Decreased nerve conduction velocity 90% Hearing impairment 90% Optic atrophy 90% Pes cavus 90% Impaired pain sensation 50% Gait disturbance 7.5% Hemiplegia/hemiparesis 7.5% Incoordination 7.5% Kyphosis 7.5% Neurological speech impairment 7.5% Reduced consciousness/confusion 7.5% Scoliosis 7.5% Tremor 7.5% Areflexia of lower limbs - Childhood onset - Distal amyotrophy - Distal muscle weakness - Distal sensory impairment - Motor delay - Onion bulb formation - Progressive visual loss - Segmental peripheral demyelination/remyelination - Sensorineural hearing impairment - X-linked recessive inheritance - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",symptoms
What causes Laron syndrome ?,"What causes Laron syndrome? Laron syndrome is caused by changes (mutations) in the GHR gene. This gene encodes growth hormone receptor, which is a protein found on the outer membrane of cells throughout the body. Growth hormone receptor is designed to recognize and bind growth hormone, which triggers cellular growth and division. When growth hormone is bound to the growth hormone receptors on liver cells, specifically, insulin-like growth factor I (another important growth-promoting hormone) is produced. Mutations in GHR impair the function of growth hormone receptors which interferes with their ability to bind growth hormone. This disrupts normal growth and development of cells and prevents the production of insulin-like growth factor I which causes the many signs and symptoms of Laron syndrome.",causes
What are the treatments for Potocki-Shaffer syndrome ?,"How might Potocki-Shaffer be treated? The treatment depends on the signs and symptoms present in the affected individual. The following treatment options or recommendations might be offered: Treatment of Wilms tumor, which may include surgery to remove the kidney, radiation therapy and chemotherapy. Treatment of aniridia is aimed at maintaining vision. Glaucoma or cataracts can be treated with medication or surgery. Contact lenses should be avoided because they can damage the cornea. In cases of abnormalities in the testes or ovaries, surgery may be needed to remove them or to prevent cancer (gonadoblastoma). After they testes or ovaries are removed hormone replacement is needed. Children with undescended testicles (cryptorchidism) may also need surgery. In a study with 6 patients and a review of 31 previously reported cases of Potocki-Shaffer syndrome, the researchers made several recommendations for the care of children with the syndrome. These include: Referral to early childhood intervention and a developmental-behavioral specialist at the time of diagnosis; A full skeletal survey at diagnosis or by age three; Screening for strabismus and nystagmus by the pediatrician (at every well-child examination), and referral to a pediatric ophthalmologist at diagnosis or by age six months; Hearing loss evaluations in infants with the syndrome and after that at three months of age; audiogram at age one year and annually thereafter; Fluorescence in situ hybridization (FISH) studies and genetic counseling should be offered to the parents of a child with Potocki-Shaffer syndrome; Referral to a specialist in development and behavior at the time of diagnosis for vision therapy, physical, occupational and speech therapy; Abdominal and kidney ultrasound due to the possible risk of developing a Wilms' tumor, especially in those individuals who have a deletion in the 11p13 region;  Cardiac evaluation to detect any heart abnormalities; Thyroid hormone level measurements to detect the hypothyroidism; and MRI scans are recommended if the individual has seizures, microcephaly, or global developmental delay.  Some individuals with Potocki-Shaffer syndrome, WAGR syndrome, and renal insufficiency may be treated with dialysis or kidney transplant.",treatment
What are the treatments for Agenesis of the Corpus Callosum ?,"There is no standard course of treatment for ACC. Treatment usually involves management of symptoms and seizures if they occur. Associated difficulties are much more manageable with early recognition and therapy, especially therapies focusing on left/right coordination. Early diagnosis and interventions are currently the best treatments to improve social and developmental outcomes.",treatment
what research (or clinical trials) is being done for Leukemia ?,"Clinical trials are research studies in which new treatments -- drugs, diagnostics, procedures, vaccines, and other therapies -- are tested in people to see if they are safe, effective, and better than the current standard of care. Clinical trials often compare a new treatment with a standard treatment to determine which one gives better results. People with leukemia who are interested in taking part in a clinical trial should contact their doctor or go to  www.clinical trials.gov and search ""leukemia.""",research
What is the outlook for Behcet's Disease ?,Behcet's disease is a lifelong disorder that comes and goes. Permanent remission of symptoms has not been reported.,outlook
Who is at risk for Colorectal Cancer? ?,"Scientists don't know exactly what causes colorectal cancer, but they have been able to identify some risk factors for the disease. A risk factor is anything that increases your chances of getting a disease. Studies show that the following risk factors may increase a person's chances of developing colorectal cancer: age, polyps, personal history, family history, and ulcerative colitis. Age Colorectal cancer is more likely to occur as people get older. It is more common in people over the age of 50, but younger people can get it, too. In rare cases, it can occur in adolescence. Polyps Polyps are benign, or non-cancerous, growths on the inner wall of the colon and rectum. They are fairly common in people over age 50. Some types of polyps increase a person's risk of developing colorectal cancer. Not all polyps become cancerous, but nearly all colon cancers start as polyps. Diet The link between diet and colorectal cancer is not firmly established. There is evidence that smoking cigarettes and drinking 3 or more alcoholic beverages daily may be associated with an increased risk of colorectal cancer. Personal History Research shows that women with a history of cancer of the ovary, uterus, or breast have a somewhat increased chance of developing colorectal cancer. Also, a person who has already had colorectal cancer may develop this disease a second time. Family History The parents, siblings, and children of a person who has had colorectal cancer are somewhat more likely to develop this type of cancer themselves. This is especially true if the relative had the cancer at a young age. If many family members have had colorectal cancer, the chances increase even more. Ulcerative colitis Ulcerative colitis is a condition in which there is a chronic break in the lining of the colon. Having this condition increases a person's chance of developing colorectal cancer. Genetic Mutations Researchers have identified genetic mutations, or abnormalities, that may be linked to the development of colon cancer. They are working to unravel the exact ways these genetic changes occur. Recent results from The Cancer Genome Atlas study of colorectal cancer point to several genes (BRAF and EGRF among others) that may increase risk. If You Have Risk Factors If you have one or more of these risk factors, it doesn't mean you will get colorectal cancer. It just increases the chances. You may wish to talk to your doctor about these risk factors. He or she may be able to suggest ways you can reduce your chances of developing colorectal cancer and plan an appropriate schedule for checkups.",susceptibility
What is (are) Lesch-Nyhan syndrome ?,"Lesch-Nyhan syndrome is a condition that occurs almost exclusively in males. It is characterized by neurological and behavioral abnormalities and the overproduction of uric acid. Uric acid is a waste product of normal chemical processes and is found in blood and urine. Excess uric acid can be released from the blood and build up under the skin and cause gouty arthritis (arthritis caused by an accumulation of uric acid in the joints). Uric acid accumulation can also cause kidney and bladder stones.  The nervous system and behavioral disturbances experienced by people with Lesch-Nyhan syndrome include abnormal involuntary muscle movements, such as tensing of various muscles (dystonia), jerking movements (chorea), and flailing of the limbs (ballismus). People with Lesch-Nyhan syndrome usually cannot walk, require assistance sitting, and generally use a wheelchair. Self-injury (including biting and head banging) is the most common and distinctive behavioral problem in individuals with Lesch-Nyhan syndrome.",information
What to do for Proctitis ?,"Drinking plenty of fluids is important when diarrhea or frequent passage of loose or liquid stools occurs.
                
Avoiding caffeine and foods that are greasy, high in fiber, or sweet may lessen diarrhea symptoms. Some people also have problems digesting lactosethe sugar found in milk and milk productsduring or after a bout of diarrhea. Yogurt, which has less lactose than milk, is often better tolerated. Yogurt with active, live bacterial cultures may even help people recover from diarrhea more quickly.
                
If diarrhea symptoms improve, soft, bland foods can be added to the diet, including bananas, plain rice, boiled potatoes, toast, crackers, cooked carrots, and baked chicken without the skin or fat. If the diarrhea stops, a normal diet may be resumed if tolerated.",considerations
what research (or clinical trials) is being done for Endometrial Cancer ?,"Cancer prevention clinical trials are used to study ways to prevent cancer.
                    Cancer prevention clinical trials are used to study ways to lower the risk of developing certain types of cancer. Some cancer prevention trials are conducted with healthy people who have not had cancer but who have an increased risk for cancer. Other prevention trials are conducted with people who have had cancer and are trying to prevent another cancer of the same type or to lower their chance of developing a new type of cancer. Other trials are done with healthy volunteers who are not known to have any risk factors for cancer.    The purpose of some cancer prevention clinical trials is to find out whether actions people take can prevent cancer. These may include eating fruits and vegetables, exercising, quitting smoking, or taking certain medicines, vitamins, minerals, or food supplements.
                
                
                    New ways to prevent endometrial cancer are being studied in clinical trials.
                    Clinical trials are taking place in many parts of the country. Information about clinical trials can be found in the Clinical Trials section of the NCI website. Check NCI's list of cancer clinical trials for endometrial cancer prevention trials that are now accepting patients.",research
What are the treatments for Hajdu-Cheney syndrome ?,These resources address the diagnosis or management of Hajdu-Cheney syndrome:  - Genetic Testing Registry: Hajdu-Cheney syndrome   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,treatment
What is (are) Amyloidosis and Kidney Disease ?,"You and your doctor will work together to choose a treatment that's best for you. The publications of the NIDDK Kidney Failure Series can help you learn about the specific issues you will face.
                
Booklets
                
- What I need to know about Kidney Failure and How its Treated  - Treatment Methods for Kidney Failure: Hemodialysis  - Treatment Methods for Kidney Failure: Peritoneal Dialysis  - Treatment Methods for Kidney Failure: Kidney Transplantation  - Kidney Failure: Eat Right to Feel Right on Hemodialysis
                
Fact Sheets
                
- Kidney Failure: What to Expect  - Vascular Access for Hemodialysis  - Hemodialysis Dose and Adequacy  - Peritoneal Dialysis Dose and Adequacy  - Amyloidosis and Kidney Disease  - Anemia in Chronic Kidney Disease  - Chronic Kidney Disease-Mineral and Bone Disorder  - Financial Help for Treatment of Kidney Failure
                
Learning as much as you can about your treatment will help make you an important member of your health care team.
                

                

                
This content is provided as a service of the National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK), part of the National Institutes of Health. The NIDDK translates and disseminates research findings through its clearinghouses and education programs to increase knowledge and understanding about health and disease among patients, health professionals, and the public. Content produced by the NIDDK is carefully reviewed by NIDDK scientists and other experts.
                
The NIDDK would like to thank: Glenn Chertow, M.D., University of California at San Francisco; William J. Stone, M.D., Vanderbilt University; Morie A. Gertz, M.D., Mayo Clinic
                
This information is not copyrighted. The NIDDK encourages people to share this content freely.
                

                

                
September 2014",information
How to diagnose Alagille Syndrome ?,"A health care provider diagnoses Alagille syndrome by performing a thorough physical exam and ordering one or more of the following tests and exams:
                
- blood test  - urinalysis  - x ray  - abdominal ultrasound  - cardiology exam  - slit-lamp exam  - liver biopsy  - genetic testing
                
Alagille syndrome can be difficult to diagnose because the signs and symptoms vary and the syndrome is so rare.
                
For a diagnosis of Alagille syndrome, three of the following symptoms typically should be present:
                
- liver symptoms, such as jaundice, pruritus, malabsorption, and xanthomas  - heart abnormalities or murmurs  - skeletal abnormalities  - posterior embryotoxon  - facial features typical of Alagille syndrome  - kidney disease  - blood vessel problems
                
A health care provider may perform a liver biopsy to diagnose Alagille syndrome; however, it is not necessary to make a diagnosis. A diagnosis can be made in a person who does not meet the clinical criteria of Alagille syndrome yet does have a gene mutation of JAG1. The health care provider may have a blood sample tested to look for the JAG1 gene mutation. The gene mutation can be identified in 94 percent of people with a diagnosis of Alagille syndrome.2
                
Blood test. A blood test involves drawing blood at a health care provider's office or a commercial facility and sending the sample to a lab for analysis. The blood test can show nutritional status and the presence of liver disease and kidney function.
                
Urinalysis. Urinalysis is the testing of a urine sample. The urine sample is collected in a special container in a health care provider's office or a commercial facility and can be tested in the same location or sent to a lab for analysis. Urinalysis can show many problems of the urinary tract and other body systems. The sample may be observed for color, cloudiness, or concentration; signs of drug use; chemical composition, including glucose; the presence of protein, blood cells, or bacteria; or other signs of disease.
                
X ray. An x ray is a picture created by using radiation and recorded on film or on a computer. The amount of radiation used is small. An x-ray technician performs the x ray at a hospital or an outpatient center, and a radiologista doctor who specializes in medical imaginginterprets the images. Anesthesia is not needed. The patient will lie on a table or stand during the x ray. The technician positions the x-ray machine over the spine area to look for ""butterfly"" vertebrae. The patient will hold his or her breath as the picture is taken so that the picture will not be blurry. The patient may be asked to change position for additional pictures.
                
Abdominal ultrasound. Ultrasound uses a device, called a transducer, that bounces safe, painless sound waves off organs to create an image of their structure. The transducer can be moved to different angles to make it possible to examine different organs. In abdominal ultrasound, the health care provider applies a gel to the patient's abdomen and moves a handheld transducer over the skin. The gel allows the transducer to glide easily, and it improves the transmission of the signals. A specially trained technician performs the procedure in a health care provider's office, an outpatient center, or a hospital, and a radiologist interprets the images; anesthesia is not needed. The images can show an enlarged liver or rule out other conditions.
                
Cardiology exam. A cardiologista doctor who treats people who have heart problemsperforms a cardiology exam in a health care provider's office, an outpatient center, or a hospital. During a full exam, a cardiologist may inspect the patient's physical appearance, measure pulse rate and blood pressure, observe the jugular vein, check for rapid or skipped heartbeats, listen for variations in heart sounds, and listen to the lungs.
                
Slit-lamp exam. An ophthalmologista doctor who diagnoses and treats all eye diseases and eye disordersperforms a slit-lamp exam to diagnose posterior embryotoxon. The ophthalmologist examines the eye with a slit lamp, a microscope combined with a high-intensity light that shines a thin beam on the eye. While sitting in a chair, the patient will rest his or her head on the slit lamp. A yellow dye may be used to examine the cornea and tear layer. The dye is applied as a drop, or the specialist may touch a strip of paper stained with the dye to the white of the patient's eye. The specialist will also use drops in the patient's eye to dilate the pupil.
                
Liver biopsy. A liver biopsy is a procedure that involves taking a piece of liver tissue for examination with a microscope for signs of damage or disease. The health care provider may ask the patient to stop taking certain medications temporarily before the liver biopsy. The patient may be asked to fast for 8 hours before the procedure.
                
During the procedure, the patient lies on a table, right hand resting above the head. A local anesthetic is applied to the area where the biopsy needle will be inserted. If needed, sedatives and pain medication are also given. The health care provider uses a needle to take a small piece of liver tissue. The health care provider may use ultrasound, computerized tomography scans, or other imaging techniques to guide the needle. After the biopsy, the patient should lie on the right side for up to 2 hours and is monitored an additional 2 to 4 hours before being sent home.
                
Genetic testing. The health care provider may refer a person suspected of having Alagille syndrome to a geneticista doctor who specializes in genetic disorders. For a genetic test, the geneticist takes a blood or saliva sample and analyzes the DNA for the JAG1 gene mutation. The geneticist tests for the JAG1 gene mutation first, since it is more common in Alagille syndrome than NOTCH2. Genetic testing is often done only by specialized labs. The results may not be available for several months because of the complexity of the testing.
                
The usefulness of genetic testing for Alagille syndrome is limited by two factors:
                
- Detection of a mutated gene cannot predict the onset of symptoms or how serious the disorder will be.  - Even if a mutated gene is found, no specific cure for the disorder exists.
                

                
When to Consider Genetic Counseling   People who are considering genetic testing may want to consult a genetics counselor. Genetic counseling can help family members understand how test results may affect them individually and as a family. Genetic counseling is provided by genetics professionalshealth care professionals with specialized degrees and experience in medical genetics and counseling. Genetics professionals include geneticists, genetics counselors, and genetics nurses.   Genetics professionals work as members of health care teams, providing information and support to individuals or families who have genetic disorders or a higher chance of having an inherited condition. Genetics professionals   - assess the likelihood of a genetic disorder by researching a family's history, evaluating medical records, and conducting a physical exam of the patient and other family members   - weigh the medical, social, and ethical decisions surrounding genetic testing   - provide support and information to help a person make a decision about testing   - interpret the results of genetic tests and medical data   - provide counseling or refer individuals and families to support services   - serve as patient advocates   - explain possible treatments or preventive measures   - discuss reproductive options    Genetic counseling may be useful when a family member is deciding whether to have genetic testing and again later when test results are available.",exams and tests
What is (are) Char syndrome ?,"Char syndrome is a condition that affects the development of the face, heart, and limbs. It is characterized by a combination of three major features: a distinctive facial appearance, a heart defect called patent ductus arteriosus, and hand abnormalities. Char syndrome is caused by mutations in the TFAP2B gene and is inherited in an autosomal dominant fashion.",information
What causes Gum (Periodontal) Disease ?,"In some studies, researchers have observed that people with periodontal disease (when compared to people without periodontal disease) were more likely to develop heart disease or have difficulty controlling their blood sugar. But so far, it has not been determined whether periodontal disease is the cause of these conditions. There may be other reasons people with periodontal disease sometimes develop additional health problems. For example, something else may be causing both the gum disease and the other condition, or it could be a coincidence that gum disease and other health problems are present together. More research is needed to clarify whether gum disease actually causes health problems beyond the mouth, and whether treating gum disease can keep other health conditions from developing. In the meantime, it's a fact that controlling periodontal disease can save your teeth -- a very good reason to take care of your teeth and gums.",causes
